Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18896.352021","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","349006.689642","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13019.729856","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","170096.984537","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3690849.152518","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3000.160225","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","122123.858628","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","281.055556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1467.977778","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","688586.094413","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","643628.396191","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11527.458713","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3092.430168","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","036","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1416783.718751","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","040","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","417261.151845","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","031","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","40866.632048","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","044","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12359.749424","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","048","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35473.785362","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","050","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","052","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4985.965","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","112","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","056","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","502764.720556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","084","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1844.906692","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","204","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12701.655846","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","060","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","7142.316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","064","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2450.366316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","072","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","17405.496707","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","076","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2063514.688762","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12128.166606","X","Ciffre de sources internationales",""
