Pays,Production,Taux importation,Distance à la France,Stabilité politique,PIB/habitant,langue courante
Afghanistan,28.0,0.5087719298245614,5447.0,60.54,520.6164092832751,Pashto
Afrique du Sud,1667.0,0.24268177525967893,8630.0,79.88,6121.8765721782775,English
Albanie,13.0,0.8085106382978723,1550.0,70.08,4514.204908242201,Albanian
Algérie,275.0,0.007220216606498195,2003.0,57.17,4109.696001460671,Arabic
Allemagne,1514.0,0.484186313973548,758.0,85.03,44651.82910208204,German
Angola,42.0,0.8683385579937304,6712.0,59.58,4095.811686217077,Portuguese
Antigua-et-Barbuda,0.0,1.0,6641.0,66.68503225806452,15383.415190828495,English
Arabie saoudite,616.0,0.5031358885017422,4464.0,33.98,20802.464299322997,Arabic
Argentine,2161.0,0.004077471967380225,11083.0,74.93,14648.845969287031,Spanish
Arménie,11.0,0.7446808510638298,3516.0,69.62,3914.52524576447,Armenian
Australie,1269.0,0.013663535439795047,15246.0,83.98,57628.86384865823,English
Autriche,148.0,0.6358381502890174,877.0,86.53,47309.0516373143,German
Azerbaïdjan,104.0,0.20930232558139536,3684.0,43.6,4150.868844080233,Azerbaijani
Bahamas,6.0,0.9230769230769231,7196.0,66.68503225806452,32376.129779570667,English
Bangladesh,249.0,0.0,7968.0,51.64,1538.2336269026032,Bengali
Barbade,15.0,0.11764705882352941,6772.0,66.68503225806452,17419.313703569132,English
Bélarus,463.0,0.07924528301886792,2018.0,47.57,5790.908054416871,Belarusian
Belgique,463.0,2.223684210526316,557.0,87.25,44025.90324725204,Dutch
Belize,20.0,0.0,8695.0,76.57,4909.6830552813035,English
Bénin,18.0,0.7639751552795031,4059.0,69.68,1136.5933602250268,French
Bolivie (État plurinational de),533.0,0.002331002331002331,9694.0,66.12,3351.1273993989917,Spanish
Bosnie-Herzégovine,61.0,0.18181818181818182,1275.0,72.17,5394.741460976719,Bosnian
Botswana,5.0,0.42857142857142855,7880.0,75.07,7893.362919712664,Tswana
Brésil,14201.0,0.00030054097375275494,8413.0,66.42,9928.675992078537,Portuguese
Bulgarie,107.0,0.6878980891719745,1848.0,64.99,8335.277985718718,Bulgarian
Burkina Faso,46.0,0.0,3689.0,76.15,734.9962817626254,French
Cabo Verde,1.0,1.2,4116.0,81.98,3292.6383577241218,Portuguese
Cambodge,28.0,0.2631578947368421,9947.0,57.93,1385.2604194196051,Khmer
Cameroun,81.0,0.0,4551.0,58.41,1425.1060720205464,French
Canada,1417.0,0.1270062805303559,6061.0,83.47,44906.74891992956,English
Chili,712.0,0.23065476190476192,11185.0,79.47,14998.813979245431,Spanish
Chine - RAS de Hong-Kong,24.0,3.2392857142857143,9818.0,70.54,46705.02781289957,Cantonese
Chine - RAS de Macao,3.0,1.2105263157894737,9784.0,66.68503225806452,81043.96865488247,Cantonese
"Chine, continentale",18236.0,0.024888497329442212,8169.0,22.34,8663.126783686317,Mandarin
"Chine, Taiwan Province de",652.0,0.2050955414012739,10148.0,75.63,24283.46461216194,Mandarin
Chypre,25.0,0.3684210526315789,2868.0,80.21,19387.26866314367,Greek
Colombie,1564.0,0.04747413268411443,8456.0,58.53,6376.707362336646,Spanish
Congo,7.0,0.9454545454545454,5380.0,63.27,2154.629047517021,French
Costa Rica,133.0,0.12686567164179105,8902.0,88.07,12225.57717162624,Spanish
Côte d'Ivoire,58.0,0.1076923076923077,4278.0,69.58,2111.0268089127067,French
Croatie,61.0,0.5333333333333333,1053.0,70.41,13439.243178286993,Croatian
Cuba,29.0,0.9122807017543859,7705.0,28.25,8541.21443968007,Spanish
Danemark,173.0,0.7964071856287425,1243.0,89.64,57938.79772774295,Danish
Dominique,0.0,1.0,6732.0,66.68503225806452,7286.797839290213,English
Égypte,1118.0,0.088,3245.0,44.22,2023.3311578387602,Arabic
El Salvador,136.0,0.12213740458015267,8976.0,72.76,3910.2531791013516,Spanish
Émirats arabes unis,48.0,1.0509708737864079,5215.0,60.61,40644.804043404576,Arabic
Équateur,340.0,0.0,9360.0,66.36,6213.501276499207,Spanish
Espagne,1515.0,0.13694054776219106,826.0,81.31,28137.441564023637,Spanish
Estonie,20.0,0.7241379310344828,2153.0,86.45,20406.691806819817,Estonian
Eswatini,6.0,0.2857142857142857,8594.0,48.73,3913.145927516325,Swazi
États-Unis d'Amérique,21914.0,0.006733822402277456,7680.0,76.12,59921.67470319648,English
Éthiopie,14.0,0.07142857142857142,5444.0,49.66,721.7534940250521,Amharic
Fédération de Russie,4444.0,0.04960491659350307,6108.0,50.55,10817.003314854175,Russian
Fidji,23.0,0.11538461538461539,16835.0,71.36,6101.130428886136,English
Finlande,129.0,0.14414414414414414,2488.0,91.08,46385.55087581656,Finnish
Gabon,4.0,0.9743589743589743,5313.0,65.17,7230.472773695374,French
Gambie,2.0,2.0,4015.0,53.3,679.7784726334518,English
Géorgie,22.0,0.8360655737704918,3311.0,72.24,4051.8428040300187,Georgian
Ghana,60.0,0.7156398104265402,4243.0,82.05,2074.1754430280207,English
Grèce,246.0,0.4438202247191011,1808.0,69.11,18907.740557928748,Greek
Grenade,1.0,0.875,7018.0,66.68503225806452,10152.832810217003,English
Guatemala,235.0,0.36134453781512604,8945.0,60.67,4236.1149056131935,Spanish
Guinée,13.0,0.74,4054.0,66.85,855.5750570601961,French
Guinée-Bissau,3.0,1.0,4107.0,69.91,738.5502856720884,Portuguese
Guyana,31.0,0.0,7398.0,73.2,6124.922066195232,English
Haïti,9.0,0.9081632653061225,7312.0,73.64,1387.4388263876838,French
Honduras,193.0,0.05853658536585366,8700.0,56.25,2453.7295733922524,Spanish
Hongrie,493.0,0.21804511278195488,1379.0,70.99,14711.084219825992,Hungarian
Îles Salomon,0.0,2.0,15252.0,66.68503225806452,2332.87385521957,English
Inde,3545.0,0.0,7281.0,57.06,1960.3903404099146,Hindi
Indonésie,2301.0,0.00043047783039173483,12543.0,60.07,3837.578116691002,Indonesian
Iran (République islamique d'),2174.0,0.002702702702702703,4586.0,34.88,6243.780412416742,Persian (Farsi)
Iraq,96.0,0.8303886925795053,3829.0,45.97,4985.453727834431,Arabic
Irlande,110.0,0.7734375,1060.0,85.92,70568.3024440602,Irish
Islande,10.0,0.2,2436.0,86.97,73949.76921466658,Icelandic
Israël,629.0,0.0,3233.0,68.99,43096.0696970638,Hebrew
